SPAC17A2.05	osm1	
SPAC17A2.06c	vps8	
SPAC17A2.07c		
SPAC17A2.08c	ntr2	
SPAC17A2.09c	csx1	
SPAC17A2.10c		
SPAC17A2.11		
SPAC17A2.12	rrp1	
SPAC17A2.13c	rad25	
SPAC17A2.14	mnr2	SPAC17G6.01
SPAC17A5.01	pex6	
SPAC17A5.02c	dbr1	
SPAC17A5.03	rpl301	rpl3-1,rpl3
SPAC17A5.04c	mde10	mug139
SPAC17A5.05c		
SPAC17A5.06	ptr8	ercc3
SPAC17A5.07c	ulp2	
SPAC17A5.08	erp2	erp3,erp4
SPAC17A5.09c	glc8	
SPAC17A5.10	hua1	
SPAC17A5.11	rec12	spo11
SPAC17A5.12	ucp7	
SPAC17A5.13	fol2	
SPAC17A5.14	exo2	
SPAC17A5.15c	gus1	ers1
SPAC17A5.16	ftp105	
SPAC17A5.18c	rec25	mug19
SPAC17A5.19		
SPAC17C9.01c	nuc2	apc3,SPAC1851.01
SPAC17C9.02c	lys7	
SPAC17C9.03	tif471	
SPAC17C9.05c	pmc3	prk1,med27
SPAC17C9.06	sam50	
SPAC17C9.07	alg8	
SPAC17C9.08	pnu1	nuc1,end1
SPAC17C9.09c	tim13	
SPAC17C9.10	stm1	
SPAC17C9.11c		
SPAC17C9.12	scs22	
SPAC17C9.13c	cut8	
SPAC17C9.14	pex19	
SPAC17C9.15c	dhm2	
SPAC17C9.16c	mfs1	SPAC9E9.16
SPAC17D4.01	pex7	SPAC1834.12
SPAC17D4.02	cdc45	sna41,goa1
SPAC17D4.03c	cis4	
SPAC17D4.04	trm401	SPAC458.01,trm4,trm4a
SPAC17G6.02c	tco1	
SPAC17G6.03		
SPAC17G6.04c	cpp1	
SPAC17G6.05c	bro1	
SPAC17G6.06	rps2401	rps24-1,rps24
SPAC17G6.07c	use1	
SPAC17G6.08	pep7	vac1
SPAC17G6.09	sec62	
SPAC17G6.10	ssr1	
SPAC17G6.11c		
SPAC17G6.12	cul1	pcu1
SPAC17G6.13	slt1	
SPAC17G6.14c	uap56	
SPAC17G6.15c	fsf1	
SPAC17G6.16c	ysh1	
SPAC17G6.17	pof8	lar7
SPAC17G8.01c	trl1	SPAC6C3.10c
SPAC17G8.02	urh2	
SPAC17G8.03c	bur6	dpb3
SPAC17G8.04c	arc5	arc15
SPAC17G8.05	med20	
SPAC17G8.06c	ilv3	
SPAC17G8.07	yaf9	
SPAC17G8.08c	gdt2	
SPAC17G8.09	shg1	
SPAC17G8.10c	dma1	
SPAC17G8.11c	imt3	
SPAC17G8.12	sec3	
SPAC17G8.13c	mst2	
SPAC17G8.14c	pck1	SPAC22H10.01c
SPAC17G8.15	wip1	new1
SPAC17H9.01	cid16	
SPAC17H9.02	mtl1	
SPAC17H9.03c	rdl1	
SPAC17H9.04c	dri1	nrp1
SPAC17H9.05	ebp2	
SPAC17H9.06c		
SPAC17H9.07	srp21	
SPAC17H9.08		
SPAC17H9.09c	ras1	ste5
SPAC17H9.10c	ddb1	
SPAC17H9.11	gmf1	
SPAC17H9.12c	cyc2	
SPAC17H9.13c	pro2	
SPAC17H9.14c	pdi2	
SPAC17H9.16	tom22	
SPAC17H9.17c	mdm10	
SPAC17H9.18c		
SPAC17H9.19c	cdt2	sev1
SPAC17H9.20	psc3	SPAC607.01
